Country,GDP US$ 2015,GDP US$ 2016,GDP US$ 2017,GDP US$ 2018,GDP US$ 2019,% women in national parliaments 2015,% women in national parliaments 2016,% women in national parliaments 2017,% women in national parliaments 2018,% women in national parliaments 2019
Aruba,2919553073.0,2965921788.0,3056424581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,19907111419.0,19362642267.0,20191760000.0,19484384937.0,19101353833.0,27.710843373494,27.710843373494,27.710843373494,0.0,27.8688524590164
Angola,116194000000.0,101124000000.0,122124000000.0,101353000000.0,94635415870.0,36.8181818181818,36.8181818181818,30.4545454545455,30.4545454545455,30.0
Albania,11386846319.0,11861200797.0,13019693451.0,15147020535.0,15278077447.0,20.7142857142857,22.8571428571429,27.8571428571429,27.8571428571429,29.5081967213115
Andorra,2789870188.0,2896679212.0,3000180750.0,3218316013.0,3154057987.0,39.2857142857143,32.1428571428571,32.1428571428571,32.1428571428571,46.4285714285714
Arab World,2529690000000.0,2463430000000.0,2513490000000.0,2772020000000.0,2815410000000.0,18.779840848806355,19.27561399156537,18.884021212819935,19.060773480662995,17.56653992395439
United Arab Emirates,358135000000.0,357045000000.0,385606000000.0,422215000000.0,421142000000.0,22.5,22.5,22.5,22.5,50.0
Argentina,594749000000.0,557531000000.0,642696000000.0,519872000000.0,449663000000.0,0.0,35.7976653696498,38.1322957198444,38.9105058365759,40.1574803149606
Armenia,10553337673.0,10546135160.0,11527458566.0,12457941907.0,13672802158.0,10.6870229007634,10.6870229007634,18.0952380952381,18.0952380952381,23.4848484848485
American Samoa,661000000.0,652000000.0,602000000.0,636000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1336692593.0,1436585185.0,1467977778.0,1610574074.0,1727759259.0,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111
Australia,1351690000000.0,1208850000000.0,1330140000000.0,1433900000000.0,1392680000000.0,26.6666666666667,28.6666666666667,28.6666666666667,28.6666666666667,30.4635761589404
Austria,381818000000.0,395228000000.0,418316000000.0,455508000000.0,446315000000.0,30.6010928961749,30.6010928961749,34.4262295081967,34.4262295081967,39.344262295082
Azerbaijan,53074370486.0,37867518957.0,40865558912.0,47112941176.0,48047647059.0,16.9354838709677,16.8,16.8,16.8,16.8067226890756
Burundi,3104394858.0,2959640987.0,3172292379.0,3036931818.0,3012334882.0,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364
Belgium,462150000000.0,475901000000.0,503789000000.0,542686000000.0,529607000000.0,39.3333333333333,39.3333333333333,38.0,38.0,42.0
Benin,11388160958.0,11821066153.0,12701656931.0,14250985959.0,14390709095.0,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506
Burkina Faso,11832159276.0,12822558022.0,14169905602.0,16199434625.0,15745810235.0,9.44881889763779,9.44881889763779,11.0236220472441,11.0236220472441,13.3858267716535
Bangladesh,195079000000.0,221415000000.0,249711000000.0,274039000000.0,302571000000.0,20.0,20.0,20.2857142857143,20.2857142857143,20.6303724928367
Bulgaria,50630703922.0,53785050339.0,58950125036.0,66200847918.0,67927179737.0,20.4166666666667,20.4166666666667,23.75,23.75,25.8333333333333
Bahrain,31125851064.0,32250132979.0,35423643617.0,37652500000.0,38574069149.0,7.5,7.5,7.5,15.0,15.0
"Bahamas, The",11752300000.0,11938400000.0,12150400000.0,12424500000.0,12827000000.0,13.1578947368421,13.1578947368421,12.8205128205128,12.8205128205128,12.8205128205128
Bosnia and Herzegovina,16211541253.0,16913330694.0,18080118128.0,20183498491.0,20047848435.0,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714
